yr_mfr,fuel_type,kms_run,sale_price,times_viewed,body_type,transmission,assured_buy,registered_state,source,make,model,car_availability,total_owners,broker_quote,original_price,car_rating,fitness_certificate,emi_starts_from,reserved,warranty_avail
2015,0,87238,13.20431011741114,1289,3,1,1,8,0,7,63,0,1,541498,680558.0,2,1,12606,0,0
2010,1,95236,12.218490227244933,2344,3,1,1,8,0,10,56,0,2,199251,265671.0,2,1,4704,0,0
2016,2,104962,12.696182164906796,2613,0,1,1,3,0,10,12,0,1,295326,366773.0,2,1,7584,0,0
2016,0,88453,13.21000605508174,1463,0,1,1,1,0,10,9,0,1,565654,703554.0,2,1,12678,0,0
2013,0,82016,12.522338530512357,2521,3,1,1,1,0,10,56,0,2,284400,353776.0,2,1,6374,0,0
2013,0,96826,12.773653768643635,1102,3,1,1,8,0,10,56,0,1,348318,446284.0,2,1,8195,0,0
2015,0,92527,12.82906288447922,1172,0,1,1,8,0,10,55,0,1,365500,467250.0,2,1,8662,0,0
2012,0,118130,12.402046418611091,1385,0,1,1,8,0,7,33,0,3,210000,277540.0,2,1,5651,0,0
2014,0,124969,12.815835499756071,812,0,1,1,8,0,10,55,0,1,381500,486770.0,2,1,8548,0,0
2011,0,133175,12.574870311446107,1424,0,1,1,8,0,10,55,0,1,253611,330743.0,2,1,6717,0,0
2013,0,110484,12.877738240131317,776,3,1,1,3,0,10,56,0,1,395404,401404.0,2,1,9094,0,0
2014,1,78097,12.730206323019898,1330,3,1,1,3,0,6,6,0,2,321773,398236.0,2,1,7846,0,0
2012,0,100995,12.36478007046429,701,0,1,1,8,0,10,48,0,1,232205,304629.0,2,1,5444,0,0
2012,0,123546,12.281639196297887,770,0,1,1,8,0,10,48,0,1,185600,248620.0,2,1,5010,0,0
2015,0,110531,12.948721641737462,1774,0,1,1,8,0,7,23,0,1,420000,527700.0,2,1,9762,0,0
2018,0,78027,13.955258587199168,1175,4,0,1,8,0,7,18,0,2,1068000,1295740.0,2,1,26711,0,0
2012,0,129639,12.631990496361066,569,0,1,1,8,0,10,55,0,1,296328,382854.0,2,1,7112,0,0
2012,0,156680,12.582448741028362,482,0,1,1,1,0,10,55,0,1,266867,345903.0,2,1,6768,0,0
2015,0,123934,12.66222769938103,1352,3,1,1,8,0,6,6,0,2,311088,400848.0,2,1,7331,0,0
2016,0,111613,13.293116611769083,755,4,1,1,1,0,10,64,0,1,519919,653679.0,2,1,13776,0,0
2014,0,98992,12.59133164495449,1790,3,1,1,8,0,6,6,0,1,256200,333904.0,2,1,6829,0,0
2017,0,148526,13.151531812200279,1140,0,1,1,8,0,7,23,0,1,507465,639725.0,2,1,11957,0,0
2014,0,103033,13.451089979613561,3101,1,1,1,3,0,15,17,0,1,713426,719426.0,2,1,16134,0,0
2013,0,194203,12.557078047948721,1020,0,1,1,1,0,10,55,0,1,284626,362578.0,2,1,6599,0,0
2015,0,111562,13.646972372568216,1356,4,1,1,3,0,15,36,0,1,850000,1002280.0,2,1,19625,0,0
2015,1,11343,12.721584272811878,3337,0,1,1,8,0,10,66,0,1,352558,451448.0,2,1,7779,0,0
2019,2,2510,12.755923771089256,2873,0,1,1,8,0,10,4,0,1,364076,465496.0,2,1,8051,0,0
2013,1,21784,12.389223025422018,963,0,1,1,8,0,10,5,0,2,241697,310189.0,2,1,5579,0,0
2019,1,4279,12.74022116376301,502,0,1,1,1,0,12,40,0,1,336000,342500.0,2,1,7925,0,0
2019,1,11393,13.155022223908361,6046,3,1,1,8,0,10,20,0,1,536586,682666.0,2,1,11999,0,0
2010,1,47405,12.79607629554814,1064,3,1,1,1,0,6,14,0,1,352000,449780.0,2,1,8380,0,0
2013,1,43803,12.773653768643635,1184,0,1,1,8,0,10,55,0,1,344573,435703.0,2,1,8195,0,0
2013,1,24955,12.329170421787895,924,0,1,1,1,0,7,24,0,1,208148,269270.0,2,1,5254,0,0
2016,1,34451,12.468433063836422,816,0,1,1,3,0,10,4,0,1,251662,330354.0,2,1,6039,0,0
2016,1,40154,12.273726621095875,5697,0,1,1,8,0,12,40,0,1,222438,292706.0,2,1,4971,0,0
2016,1,37916,12.363499381791108,5518,0,1,1,3,0,12,40,0,1,241700,302963.0,2,1,5438,0,0
2012,1,39131,12.358789440693133,1501,0,1,1,3,0,10,66,0,1,209467,275375.0,2,1,5412,0,0
2013,0,28769,13.027170990662128,2393,4,1,0,8,0,12,19,0,1,433859,544319.0,2,1,10559,0,0
2016,1,14776,12.536091963928714,1063,0,1,1,1,0,7,24,0,1,265907,339745.0,2,1,6462,0,0
2012,0,62476,12.667914936470869,693,0,1,1,8,0,10,55,0,1,334103,428945.0,2,1,7372,0,0
2017,0,85779,12.714091333535318,1000,0,1,1,1,0,14,60,0,2,333702,333899.0,2,1,7721,0,0
2015,1,20087,13.621317614270012,1301,4,1,1,8,0,7,18,0,2,841253,1023449.0,2,1,19128,0,0
2011,1,59431,12.317609547981167,1066,0,1,1,8,0,7,32,0,1,202583,262473.0,2,1,5194,0,0
2013,1,40911,12.59269126909196,1343,0,1,1,1,0,15,27,0,2,269633,349285.0,1,1,6838,0,0
2011,1,71538,12.45565947125367,878,0,1,1,3,0,7,33,0,1,239609,268499.0,2,1,5962,0,0
2015,1,53095,12.779870251552177,649,0,1,1,1,0,10,12,0,1,355044,361544.0,2,1,8246,0,0
2012,0,59922,12.5296007529241,991,0,1,1,3,0,7,33,0,1,237167,297556.0,1,1,6420,0,0
2018,1,28290,13.47287798537738,2443,4,1,1,8,0,6,69,0,1,738712,917232.0,2,1,16489,0,0
2017,1,34205,13.14098687843173,519,0,1,1,8,0,10,9,0,1,470617,535699.0,2,1,11832,0,0
2015,1,57972,12.81963263965103,938,0,1,1,1,0,10,55,0,3,369391,470977.0,2,1,8580,0,0
2008,1,61909,12.22144882387344,654,0,1,1,1,0,10,55,0,1,176651,236421.0,1,1,4717,0,0
2012,0,49367,13.081330944076715,4922,2,1,1,8,0,9,71,0,3,395073,503313.0,1,1,11147,0,0
2014,0,64950,13.22852177466995,3259,2,1,1,1,0,9,71,0,2,505938,636898.0,2,1,12914,0,0
2010,1,61261,12.358360162174936,1143,3,1,1,8,0,10,57,0,1,200068,265408.0,1,1,5410,0,0
2013,0,67011,12.819361893011372,494,0,1,1,3,0,10,55,0,1,354032,436632.0,2,1,8578,0,0
2015,1,53171,13.08237228758713,1015,0,1,1,8,0,7,23,0,1,447444,560624.0,2,1,11158,0,0
2011,1,89510,12.146317333254686,1377,0,1,1,8,0,10,72,0,1,164094,221714.0,1,1,4376,0,0
2015,0,50968,13.59373981391882,2106,4,1,1,1,0,9,50,0,1,832560,1012190.0,2,1,18608,0,0
2017,0,42841,14.162717117894799,1528,4,1,1,8,0,15,37,1,1,1422217,1713713.0,2,1,32869,0,0
